"L1_cond"	"active"	"ax"	"ay"	"az"	"curvature"	"dens"	"densityDot"	"e1x"	"e1y"	"e1z"	"e2x"	"e2y"	"e2z"	"e3x"	"e3y"	"e3z"	"freeSurface"	"fxSensed"	"fxx"	"fxy"	"fxz"	"fySensed"	"fyx"	"fyy"	"fyz"	"fzSensed"	"fzx"	"fzy"	"fzz"	"ghost"	"h"	"hdot"	"heatSensed"	"lambdax"	"lambday"	"lambdaz"	"mass"	"nx"	"ny"	"nz"	"particleDensity"	"px"	"py"	"pz"	"rx"	"ry"	"rz"	"sxx"	"sxy"	"sxz"	"syx"	"syy"	"syz"	"szx"	"szy"	"szz"	"temp"	"tgx"	"tgy"	"tgz"	"vol"	"vx"	"vy"	"vz"	"x"	"xo"	"y"	"yo"	"z"	"zo"	"vtkOriginalPointIds"	"Points:0"	"Points:1"	"Points:2"
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.66191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7178	0.24325	0.24071	0	0.0024872	0	0	0	1	1	0	0	0	0	420	1	0	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.81155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0.0026657	0.0053309	0	0.0024872	0	0	0	1	1	0.05	0.05	0	0	421	1	0.05	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.1	0.1	0	0	422	1	0.1	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.15	0.15	0	0	423	1	0.15	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.2	0.2	0	0	424	1	0.2	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.25	0.25	0	0	425	1	0.25	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.3	0.3	0	0	426	1	0.3	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.35	0.35	0	0	427	1	0.35	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.4	0.4	0	0	428	1	0.4	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.45	0.45	0	0	429	1	0.45	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.5	0.5	0	0	430	1	0.5	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.55	0.55	0	0	431	1	0.55	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.6	0.6	0	0	432	1	0.6	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.65	0.65	0	0	433	1	0.65	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.7	0.7	0	0	434	1	0.7	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.75	0.75	0	0	435	1	0.75	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.8	0.8	0	0	436	1	0.8	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.85	0.85	0	0	437	1	0.85	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.0024872	0	0	0	1	1	0.9	0.9	0	0	438	1	0.9	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.81155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0.0026657	-0.0053309	0	0.0024872	0	0	0	1	1	0.95	0.95	0	0	439	1	0.95	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	2.4872	0	0	0	0.66191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7178	0.24325	-0.24071	0	0.0024872	0	0	0	1	1	1	1	0	0	440	1	1	0
