"L1_cond"	"active"	"ax"	"ay"	"az"	"curvature"	"dens"	"densityDot"	"e1x"	"e1y"	"e1z"	"e2x"	"e2y"	"e2z"	"e3x"	"e3y"	"e3z"	"freeSurface"	"fxSensed"	"fxx"	"fxy"	"fxz"	"fySensed"	"fyx"	"fyy"	"fyz"	"fzSensed"	"fzx"	"fzy"	"fzz"	"ghost"	"h"	"hdot"	"heatSensed"	"lambdax"	"lambday"	"lambdaz"	"mass"	"nx"	"ny"	"nz"	"particleDensity"	"px"	"py"	"pz"	"rx"	"ry"	"rz"	"sxx"	"sxy"	"sxz"	"syx"	"syy"	"syz"	"szx"	"szy"	"szz"	"temp"	"tgx"	"tgy"	"tgz"	"vol"	"vx"	"vy"	"vz"	"x"	"xo"	"y"	"yo"	"z"	"zo"	"vtkOriginalPointIds"	"Points:0"	"Points:1"	"Points:2"
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.66191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7163	0.24803	0.24534	0	0.00015545	0	0	0	1	1	0	0	0	0	6480	1	0	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.81155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0.0027159	0.0054313	0	0.00015545	0	0	0	1	1	0.0125	0.0125	0	0	6481	1	0.0125	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.025	0.025	0	0	6482	1	0.025	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.0375	0.0375	0	0	6483	1	0.0375	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.05	0.05	0	0	6484	1	0.05	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.0625	0.0625	0	0	6485	1	0.0625	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.075	0.075	0	0	6486	1	0.075	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.0875	0.0875	0	0	6487	1	0.0875	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.1	0.1	0	0	6488	1	0.1	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.1125	0.1125	0	0	6489	1	0.1125	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.125	0.125	0	0	6490	1	0.125	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.1375	0.1375	0	0	6491	1	0.1375	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.15	0.15	0	0	6492	1	0.15	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.1625	0.1625	0	0	6493	1	0.1625	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.175	0.175	0	0	6494	1	0.175	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.1875	0.1875	0	0	6495	1	0.1875	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.2	0.2	0	0	6496	1	0.2	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.2125	0.2125	0	0	6497	1	0.2125	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.225	0.225	0	0	6498	1	0.225	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.2375	0.2375	0	0	6499	1	0.2375	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.25	0.25	0	0	6500	1	0.25	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.2625	0.2625	0	0	6501	1	0.2625	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.275	0.275	0	0	6502	1	0.275	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.2875	0.2875	0	0	6503	1	0.2875	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.3	0.3	0	0	6504	1	0.3	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.3125	0.3125	0	0	6505	1	0.3125	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.325	0.325	0	0	6506	1	0.325	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.3375	0.3375	0	0	6507	1	0.3375	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.35	0.35	0	0	6508	1	0.35	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.3625	0.3625	0	0	6509	1	0.3625	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.375	0.375	0	0	6510	1	0.375	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.3875	0.3875	0	0	6511	1	0.3875	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.4	0.4	0	0	6512	1	0.4	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.4125	0.4125	0	0	6513	1	0.4125	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.425	0.425	0	0	6514	1	0.425	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.4375	0.4375	0	0	6515	1	0.4375	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.45	0.45	0	0	6516	1	0.45	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.4625	0.4625	0	0	6517	1	0.4625	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.475	0.475	0	0	6518	1	0.475	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.4875	0.4875	0	0	6519	1	0.4875	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.5	0.5	0	0	6520	1	0.5	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.5125	0.5125	0	0	6521	1	0.5125	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.525	0.525	0	0	6522	1	0.525	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.5375	0.5375	0	0	6523	1	0.5375	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.55	0.55	0	0	6524	1	0.55	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.5625	0.5625	0	0	6525	1	0.5625	0
